symbol,synonym_symbol,scientific_name,common_name,fips_code
CAAP2,CAAPG,Campanula aparinoides Pursh var. grandiflora ,NA,US08
CAAP2,CAUL3,Campanula uliginosa Rydb.,NA,US08
CAAP2,CAAPU,Campanula aparinoides Pursh var. uliginosa (R,NA,US08
CAAP2,NA,Campanula aparinoides Pursh,marsh bellflower,US08
CAAQ,NA,Carex aquatilis Wahlenb.,water sedge,US08
CAAQ3,NA,Catabrosa aquatica (L.) P. Beauv.,water whorlgrass,US08
CAAQA,CAAQA4,Carex aquatilis Wahlenb. ssp. altior (Rydb.) ,NA,US08
CAAQA,CASU24,Carex substricta (Kük.) Mack.,NA,US08
CAAQA,CAAQS2,Carex aquatilis Wahlenb. var. substricta Kük.,NA,US08
CAAQA,CASU23,Carex suksdorfii Kük.,NA,US08
CAAQA,CAAC10,Carex acutinella Mack.,NA,US08
CAAQA,NA,Carex aquatilis Wahlenb. var. aquatilis,water sedge,US08
CAAQA,CAAQA5,Carex aquatilis Wahlenb. var. altior (Rydb.) ,NA,US08
CAAQA6,CAAQU,Catabrosa aquatica (L.) P. Beauv. var. uniflo,NA,US08
CAAQA6,NA,Catabrosa aquatica (L.) P. Beauv. var. aquati,water whorlgrass,US08
CAAQA6,AIAQ,Aira aquatica L.,NA,US08
CAAQS,CAAQS3,Carex aquatilis Wahlenb. ssp. stans (Drejer) ,NA,US08
CAAQS,NA,Carex aquatilis Wahlenb. var. stans (Drejer) ,water sedge,US08
CAAQS,CAST39,Carex stans Drejer,NA,US08
CAAR13,NA,Carex arapahoensis Clokey,Arapaho sedge,US08
CAAR18,NA,Caragana arborescens Lam.,Siberian peashrub,US08
CAAR18,CAARP2,Caragana arborescens Lam. var. pendula Carriè,NA,US08
CAAR18,CAFR20,Caragana fruticosa (Pall.) Besser,NA,US08
CAAT2,NA,Carex atherodes Spreng.,wheat sedge,US08
CAAT3,NA,Carex athrostachya Olney,slenderbeak sedge,US08
CAAT8,CAATA5,Carex atrata L. var. atrosquama (Mack.) Cronq,NA,US08
CAAT8,CAATA4,Carex atrata L. ssp. atrosquama (Mack.) Hulté,NA,US08
CAAT8,NA,Carex atrosquama Mack.,lesser blackscale sedge,US08
CAAT8,CAAP6,Carex apoda Clokey,NA,US08
CAAU10,NA,Caragana aurantiaca Koehne,dwarf peashrub,US08
CAAU3,NA,Carex aurea Nutt.,golden sedge,US08
CAAU8,NA,Calochortus aureus S. Watson,golden mariposa lily,US08
CAAU8,CANUA,Calochortus nuttallii Torr. & A. Gray var. au,NA,US08
CABA3,CADUS,Carex durifolia L.H. Bailey var. subrostrata ,NA,US08
CABA3,CADU10,Carex durifolia L.H. Bailey,NA,US08
CABA3,NA,Carex backii Boott,Back's sedge,US08
CABA3,CABAS2,Carex backii Boott var. subrostrata (Bates) D,NA,US08
CABE2,NA,Carex bebbii Olney ex Fernald,Bebb's sedge,US08
CABE3,NA,Carex bella L.H. Bailey,southwestern showy sedge,US08
CABE3,CAUN8,Carex uncompahgre L. Kelso,NA,US08
CABE6,NA,Calylophus berlandieri Spach,Berlandier's sundrops,US08
CABEB2,OESED,Oenothera serrulata Nutt. ssp. drummondii (To,NA,US08
CABEB2,CADRB,Calylophus drummondianus Spach ssp. berlandie,NA,US08
CABEB2,NA,Calylophus berlandieri Spach ssp. berlandieri,Berlandier's sundrops,US08
CABI5,CACO51,Carex consimilis T. Holm,NA,US08
CABI5,CABIH2,Carex bigelowii Torr. ex Schwein. ssp. hyperb,NA,US08
CABI5,NA,Carex bigelowii Torr. ex Schwein.,Bigelow's sedge,US08
CABR10,CAFEB,Carex festucacea Schkuhr ex Willd. var. brevi,NA,US08
CABR10,NA,Carex brevior (Dewey) Mack.,shortbeak sedge,US08
CABR15,NA,Carex brunnescens (Pers.) Poir.,brownish sedge,US08
CABR22,TABR5,Taraxia breviflora (Torr. & A. Gray) Nutt. ex,NA,US08
CABR22,OEBR4,Oenothera breviflora Torr. & A. Gray,NA,US08
CABR22,NA,Camissonia breviflora (Torr. & A. Gray) P.H. ,fewflower evening primrose,US08
CABR6,NA,Cardamine breweri S. Watson,Brewer's bittercress,US08
CABRB,CAOR12,Cardamine oregona Piper,NA,US08
CABRB,CAHE17,Cardamine hederifolia Greene,NA,US08
CABRB,NA,Cardamine breweri S. Watson var. breweri,Brewer's bittercress,US08
CABRL,NA,Cardamine breweri S. Watson var. leibergii (H,Leiberg's bittercress,US08
CABRL,CALE31,Cardamine leibergii Holz.,NA,US08
CABRL,CAFO7,Cardamine foliacea Greene,NA,US08
CABRL,CACA57,Cardamine callosicrenata Piper,NA,US08
CABRL,CAVA4,Cardamine vallicola Greene,NA,US08
CABRS,NA,Carex brunnescens (Pers.) Poir. ssp. sphaeros,brownish sedge,US08
CABRS,CABRS2,Carex brunnescens (Pers.) Poir. var. sphaeros,NA,US08
CABU,NA,Calypso bulbosa (L.) Oakes,fairy slipper,US08
CABU2,BUBUB,Bursa bursa-pastoris (L.) Britton var. bifida,NA,US08
CABU2,CARU22,Capsella rubella Reut.,NA,US08
CABU2,NA,Capsella bursa-pastoris (L.) Medik.,shepherd's purse,US08
CABU2,THBU2,Thlaspi bursa-pastoris L.,NA,US08
CABU2,BUGR,Bursa gracilis Gren.,NA,US08
CABU2,BUBU3,Bursa bursa-pastoris (L.) Britton,NA,US08
CABU6,NA,Carex buxbaumii Wahlenb.,Buxbaum's sedge,US08
CABUA,CYBU5,Cytherea bulbosa (L.) House p.p.,NA,US08
CABUA,NA,Calypso bulbosa (L.) Oakes var. americana (R.,fairy slipper,US08
CACA11,NA,Carex canescens L.,silvery sedge,US08
CACA12,NA,Carex capillaris L.,hair-like sedge,US08
CACA12,CACAF,Carex capillaris L. var. fuscidula (Krecz.) Á,NA,US08
CACA12,CACAM2,Carex capillaris L. var. major Blytt,NA,US08
CACA12,CACAR4,Carex capillaris L. ssp. robustior (Drejer ex,NA,US08
CACA12,CACAC13,Carex capillaris L. ssp. chlorostachys (Stev.,NA,US08
CACA12,CACAE,Carex capillaris L. var. elongata Olney ex Fe,NA,US08
CACA12,CABO21,"Carex boecheriana Á. Löve, D. Löve & Raymond",NA,US08
CACA13,NA,Carex capitata L.,capitate sedge,US08
CACA19,CAVE20,Carum velenovskyi Rohlena,NA,US08
CACA19,NA,Carum carvi L.,caraway,US08
CACA4,NA,Calamagrostis canadensis (Michx.) P. Beauv.,bluejoint,US08
CACAA2,CAAR15,Carex arctogena Harry Sm.,NA,US08
CACAA2,CACAA5,Carex capitata L. var. arctogena (Harry Sm.) ,NA,US08
CACAA2,NA,Carex capitata L. ssp. arctogena (Harry Sm.) ,capitate sedge,US08
CACAC10,CASC2,Calamagrostis scribneri Beal,NA,US08
CACAC10,CAINR,Calamagrostis inexpansa A. Gray var. robusta ,NA,US08
CACAC10,CAAT14,Calamagrostis atropurpurea Nash,NA,US08
CACAC10,CACAR,Calamagrostis canadensis (Michx.) P. Beauv. v,NA,US08
CACAC10,CAEXR,Calamagrostis expansa (Munro ex Hillebr.) Hit,NA,US08
CACAC10,NA,Calamagrostis canadensis (Michx.) P. Beauv. v,bluejoint,US08
CACAC10,CACAP4,Calamagrostis canadensis (Michx.) P. Beauv. v,NA,US08
CACAC10,CACAI,Calamagrostis canadensis (Michx.) P. Beauv. v,NA,US08
CACAC10,CAHY12,Calamagrostis hyperborea Lange,NA,US08
CACAC10,CAAN20,Calamagrostis anomala Suksd.,NA,US08
CACAC10,CAINC,Calamagrostis inexpansa A. Gray var. cuprea K,NA,US08
CACAC10,CACAT,Calamagrostis canadensis (Michx.) P. Beauv. v,NA,US08
CACAC6,CACAC5,Carex canescens L. var. canescens,NA,US08
CACAC6,CACU9,Carex curta Goodenough,NA,US08
CACAC6,NA,Carex canescens L. ssp. canescens,silvery sedge,US08
CACAL3,CANU6,Calamagrostis nubila Louis-Marie,NA,US08
CACAL3,CALA43,Calamagrostis langsdorffii (Link) Trin.,NA,US08
CACAL3,NA,Calamagrostis canadensis (Michx.) P. Beauv. v,bluejoint,US08
CACAL3,CACAL5,Calamagrostis canadensis (Michx.) P. Beauv. s,NA,US08
CACAL3,CACAS,Calamagrostis canadensis (Michx.) P. Beauv. v,NA,US08
CACAL3,CALA83,Calamagrostis lactea Beal,NA,US08
CACAL3,CACAL2,Calamagrostis canadensis (Michx.) P. Beauv. v,NA,US08
